sale_id,product_id,customer_id,timestamp,quantity,price_x,revenue,_revenue,location,gender,signup_date,name,category,supplier,price_y
1,61,76,2022-12-06,3,29741,89223,89223,Port Harcourt,Male,2022-01-17,Product_61,Toys,Supplier D,29741
2,35,495,2022-10-24,2,7991,15982,15982,Port Harcourt,Male,2021-06-29,Product_35,Electronics,Supplier A,7991
3,64,461,2021-11-06,2,12245,24490,24490,Lagos,Female,2020-11-30,Product_64,Fashion,Supplier C,12245
4,25,114,2022-05-10,3,33839,101517,101517,Port Harcourt,Male,2022-04-15,Product_25,Books,Supplier D,33839
5,24,111,2021-12-04,3,1935,5805,5805,Kano,Male,2022-11-15,Product_24,Fashion,Supplier B,1935
6,12,249,2022-08-02,3,13487,40461,40461,Kano,Male,2022-07-25,Product_12,Fashion,Supplier B,13487
7,18,439,2021-01-10,2,48017,96034,96034,Ibadan,Male,2022-12-03,Product_18,Toys,Supplier C,48017
8,15,203,2021-02-18,2,1507,3014,3014,Lagos,Male,2020-04-04,Product_15,Books,Supplier D,1507
9,80,147,2022-09-15,1,13761,13761,13761,Ibadan,Male,2022-05-22,Product_80,Electronics,Supplier A,13761
10,27,35,2023-01-01,4,26321,105284,105284,Enugu,Female,2021-09-16,Product_27,Toys,Supplier A,26321
11,72,487,2023-03-06,4,16922,67688,67688,Enugu,Female,2022-09-08,Product_72,Groceries,Supplier A,16922
12,60,309,2023-08-29,2,27582,55164,55164,Abuja,Female,2020-03-27,Product_60,Groceries,Supplier D,27582
13,46,26,2021-05-13,4,25360,101440,101440,Port Harcourt,Female,2022-12-15,Product_46,Toys,Supplier C,25360
14,89,238,2021-03-24,3,39714,119142,119142,Ibadan,Male,2022-09-09,Product_89,Home,Supplier B,39714
15,17,14,2021-02-26,1,11206,11206,11206,Port Harcourt,Female,2022-04-17,Product_17,Electronics,Supplier A,11206
16,93,374,2022-01-11,2,34950,69900,69900,Kano,Male,2020-03-15,Product_93,Groceries,Supplier B,34950
17,53,45,2021-12-15,2,27583,55166,55166,Port Harcourt,Male,2020-12-30,Product_53,Books,Supplier C,27583
18,8,428,2021-09-28,4,1636,6544,6544,Enugu,Male,2022-07-27,Product_8,Books,Supplier C,1636
19,79,216,2021-04-21,3,47266,141798,141798,Kano,Male,2020-12-28,Product_79,Fashion,Supplier C,47266
20,27,233,2023-05-19,1,26321,26321,26321,Kano,Female,2020-02-20,Product_27,Toys,Supplier A,26321
21,46,193,2023-06-06,4,25360,101440,101440,Enugu,Female,2022-03-16,Product_46,Toys,Supplier C,25360
22,50,51,2021-03-17,2,22230,44460,44460,Enugu,Female,2022-10-23,Product_50,Fashion,Supplier D,22230
23,71,427,2021-11-25,2,32732,65464,65464,Abuja,Male,2020-03-01,Product_71,Toys,Supplier A,32732
24,3,375,2021-05-02,4,33562,134248,134248,Abuja,Female,2022-04-17,Product_3,Toys,Supplier C,33562
25,93,214,2021-02-10,3,34950,104850,104850,Lagos,Female,2020-12-11,Product_93,Groceries,Supplier B,34950
26,64,151,2023-07-11,1,12245,12245,12245,Port Harcourt,Male,2020-01-05,Product_64,Fashion,Supplier C,12245
27,44,440,2022-10-04,1,24321,24321,24321,Enugu,Male,2022-03-27,Product_44,Books,Supplier B,24321
28,53,275,2023-11-13,1,27583,27583,27583,Ibadan,Female,2022-04-28,Product_53,Books,Supplier C,27583
29,24,338,2021-10-06,1,1935,1935,1935,Abuja,Male,2022-07-03,Product_24,Fashion,Supplier B,1935
30,60,76,2023-02-02,3,27582,82746,82746,Port Harcourt,Male,2022-01-17,Product_60,Groceries,Supplier D,27582
31,3,439,2022-04-14,2,33562,67124,67124,Ibadan,Male,2022-12-03,Product_3,Toys,Supplier C,33562
32,20,220,2021-01-09,2,29757,59514,59514,Ibadan,Male,2022-08-15,Product_20,Home,Supplier B,29757
33,46,348,2021-01-13,1,25360,25360,25360,Ibadan,Female,2021-01-30,Product_46,Toys,Supplier C,25360
34,15,444,2023-07-13,1,1507,1507,1507,Kano,Female,2020-01-12,Product_15,Books,Supplier D,1507
35,25,187,2023-07-12,1,33839,33839,33839,Port Harcourt,Male,2022-08-08,Product_25,Books,Supplier D,33839
36,94,289,2023-12-12,4,32696,130784,130784,Kano,Male,2021-10-31,Product_94,Electronics,Supplier C,32696
37,78,403,2023-12-11,4,23911,95644,95644,Lagos,Male,2020-01-29,Product_78,Books,Supplier D,23911
38,71,28,2022-10-15,2,32732,65464,65464,Lagos,Female,2020-04-16,Product_71,Toys,Supplier A,32732
39,17,379,2022-09-13,2,11206,22412,22412,Abuja,Male,2022-07-22,Product_17,Electronics,Supplier A,11206
40,84,180,2021-07-15,1,44913,44913,44913,Lagos,Female,2021-04-22,Product_84,Home,Supplier A,44913
41,100,253,2022-02-21,4,11925,47700,47700,Ibadan,Female,2020-03-15,Product_100,Home,Supplier A,11925
42,9,126,2022-10-26,3,35332,105996,105996,Ibadan,Male,2022-04-24,Product_9,Electronics,Supplier A,35332
43,38,177,2021-05-28,4,8573,34292,34292,Ibadan,Female,2021-01-25,Product_38,Home,Supplier A,8573
44,48,37,2023-09-28,2,12439,24878,24878,Enugu,Female,2020-10-29,Product_48,Toys,Supplier C,12439
45,60,410,2021-12-30,4,27582,110328,110328,Ibadan,Male,2020-04-07,Product_60,Groceries,Supplier D,27582
46,63,99,2022-02-06,2,45069,90138,90138,Lagos,Female,2021-04-12,Product_63,Home,Supplier A,45069
47,86,98,2022-08-29,1,28587,28587,28587,Port Harcourt,Male,2020-01-06,Product_86,Fashion,Supplier C,28587
48,2,127,2021-08-17,3,26623,79869,79869,Enugu,Male,2020-09-15,Product_2,Groceries,Supplier D,26623
49,88,483,2022-06-21,1,34256,34256,34256,Port Harcourt,Male,2022-09-09,Product_88,Electronics,Supplier B,34256
50,72,168,2021-09-25,1,16922,16922,16922,Ibadan,Female,2021-10-26,Product_72,Groceries,Supplier A,16922
51,11,80,2023-11-01,3,7509,22527,22527,Abuja,Female,2021-11-22,Product_11,Electronics,Supplier D,7509
52,64,294,2021-05-06,3,12245,36735,36735,Kano,Female,2020-01-18,Product_64,Fashion,Supplier C,12245
53,77,333,2021-11-02,3,17982,53946,53946,Port Harcourt,Female,2020-01-07,Product_77,Home,Supplier B,17982
54,81,126,2022-09-20,2,3593,7186,7186,Ibadan,Male,2022-04-24,Product_81,Groceries,Supplier C,3593
55,72,343,2022-11-20,1,16922,16922,16922,Lagos,Female,2021-12-09,Product_72,Groceries,Supplier A,16922
56,21,310,2023-11-04,2,22236,44472,44472,Enugu,Female,2020-02-24,Product_21,Groceries,Supplier D,22236
57,18,150,2021-10-08,3,48017,144051,144051,Enugu,Female,2021-12-25,Product_18,Toys,Supplier C,48017
58,94,16,2022-03-19,2,32696,65392,65392,Ibadan,Male,2020-08-20,Product_94,Electronics,Supplier C,32696
59,64,28,2023-04-17,3,12245,36735,36735,Lagos,Female,2020-04-16,Product_64,Fashion,Supplier C,12245
60,82,496,2022-01-24,4,12222,48888,48888,Ibadan,Male,2021-02-17,Product_82,Home,Supplier A,12222
61,95,419,2022-09-09,3,6126,18378,18378,Enugu,Female,2020-12-30,Product_95,Electronics,Supplier C,6126
62,38,444,2021-05-27,1,8573,8573,8573,Kano,Female,2020-01-12,Product_38,Home,Supplier A,8573
63,32,173,2022-06-05,1,7559,7559,7559,Enugu,Male,2020-04-13,Product_32,Toys,Supplier A,7559
64,11,46,2022-09-22,1,7509,7509,7509,Lagos,Female,2021-10-27,Product_11,Electronics,Supplier D,7509
65,45,328,2022-03-10,2,38067,76134,76134,Enugu,Male,2021-04-13,Product_45,Toys,Supplier A,38067
66,89,236,2021-05-24,1,39714,39714,39714,Enugu,Female,2022-03-24,Product_89,Home,Supplier B,39714
67,33,439,2021-10-16,3,18771,56313,56313,Ibadan,Male,2022-12-03,Product_33,Electronics,Supplier D,18771
68,41,214,2021-01-14,4,11883,47532,47532,Lagos,Female,2020-12-11,Product_41,Groceries,Supplier D,11883
69,8,85,2021-09-14,1,1636,1636,1636,Enugu,Female,2021-09-15,Product_8,Books,Supplier C,1636
70,11,282,2023-05-08,2,7509,15018,15018,Port Harcourt,Male,2020-11-22,Product_11,Electronics,Supplier D,7509
71,86,232,2023-08-01,4,28587,114348,114348,Ibadan,Female,2022-10-10,Product_86,Fashion,Supplier C,28587
72,51,85,2022-04-09,1,21927,21927,21927,Enugu,Female,2021-09-15,Product_51,Electronics,Supplier B,21927
73,88,409,2021-09-27,1,34256,34256,34256,Enugu,Female,2022-01-13,Product_88,Electronics,Supplier B,34256
