sale_id,product_id,customer_id,timestamp,quantity,price,revenue
1,61,76,2022-12-06,3,29741,89223
2,35,495,2022-10-24,2,7991,15982
3,64,461,2021-11-06,2,12245,24490
4,25,114,2022-05-10,3,33839,101517
5,24,111,2021-12-04,3,1935,5805
6,12,249,2022-08-02,3,13487,40461
7,18,439,2021-01-10,2,48017,96034
8,15,203,2021-02-18,2,1507,3014
9,80,147,2022-09-15,1,13761,13761
10,27,35,2023-01-01,4,26321,105284
11,72,487,2023-03-06,4,16922,67688
12,60,309,2023-08-29,2,27582,55164
13,46,26,2021-05-13,4,25360,101440
14,89,238,2021-03-24,3,39714,119142
15,17,14,2021-02-26,1,11206,11206
16,93,374,2022-01-11,2,34950,69900
17,53,45,2021-12-15,2,27583,55166
18,8,428,2021-09-28,4,1636,6544
19,79,216,2021-04-21,3,47266,141798
20,27,233,2023-05-19,1,26321,26321
21,46,193,2023-06-06,4,25360,101440
22,50,51,2021-03-17,2,22230,44460
23,71,427,2021-11-25,2,32732,65464
24,3,375,2021-05-02,4,33562,134248
25,93,214,2021-02-10,3,34950,104850
26,64,151,2023-07-11,1,12245,12245
27,44,440,2022-10-04,1,24321,24321
28,53,275,2023-11-13,1,27583,27583
29,24,338,2021-10-06,1,1935,1935
30,60,76,2023-02-02,3,27582,82746
31,3,439,2022-04-14,2,33562,67124
32,20,220,2021-01-09,2,29757,59514
33,46,348,2021-01-13,1,25360,25360
34,15,444,2023-07-13,1,1507,1507
35,25,187,2023-07-12,1,33839,33839
36,94,289,2023-12-12,4,32696,130784
37,78,403,2023-12-11,4,23911,95644
38,71,28,2022-10-15,2,32732,65464
39,17,379,2022-09-13,2,11206,22412
40,84,180,2021-07-15,1,44913,44913
41,100,253,2022-02-21,4,11925,47700
42,9,126,2022-10-26,3,35332,105996
43,38,177,2021-05-28,4,8573,34292
44,48,37,2023-09-28,2,12439,24878
45,60,410,2021-12-30,4,27582,110328
46,63,99,2022-02-06,2,45069,90138
47,86,98,2022-08-29,1,28587,28587
48,2,127,2021-08-17,3,26623,79869
49,88,483,2022-06-21,1,34256,34256
50,72,168,2021-09-25,1,16922,16922
51,11,80,2023-11-01,3,7509,22527
52,64,294,2021-05-06,3,12245,36735
53,77,333,2021-11-02,3,17982,53946
54,81,126,2022-09-20,2,3593,7186
55,72,343,2022-11-20,1,16922,16922
56,21,310,2023-11-04,2,22236,44472
57,18,150,2021-10-08,3,48017,144051
58,94,16,2022-03-19,2,32696,65392
59,64,28,2023-04-17,3,12245,36735
60,82,496,2022-01-24,4,12222,48888
61,95,419,2022-09-09,3,6126,18378
62,38,444,2021-05-27,1,8573,8573
63,32,173,2022-06-05,1,7559,7559
64,11,46,2022-09-22,1,7509,7509
65,45,328,2022-03-10,2,38067,76134
66,89,236,2021-05-24,1,39714,39714
67,33,439,2021-10-16,3,18771,56313
68,41,214,2021-01-14,4,11883,47532
69,8,85,2021-09-14,1,1636,1636
70,11,282,2023-05-08,2,7509,15018
71,86,232,2023-08-01,4,28587,114348
72,51,85,2022-04-09,1,21927,21927
73,88,409,2021-09-27,1,34256,34256
74,41,489,2022-09-15,4,11883,47532
75,17,65,2021-03-13,1,11206,11206
76,76,134,2021-03-15,2,10896,21792
77,46,151,2021-12-21,3,25360,76080
78,32,115,2022-05-12,3,7559,22677
79,79,64,2023-09-15,4,47266,189064
80,80,343,2022-08-03,3,13761,41283
81,54,427,2023-06-29,1,22010,22010
82,86,363,2022-01-08,1,28587,28587
83,92,407,2021-12-28,2,49401,98802
84,20,352,2021-04-03,3,29757,89271
85,33,158,2021-11-20,4,18771,75084
86,74,77,2022-01-19,1,42346,42346
87,40,491,2022-07-29,4,21453,85812
88,32,146,2023-01-06,1,7559,7559
89,97,343,2023-01-07,1,13357,13357
90,2,463,2021-12-12,2,26623,53246
91,97,225,2022-12-20,3,13357,40071
92,33,405,2023-02-20,2,18771,37542
93,77,313,2023-10-17,3,17982,53946
94,30,103,2022-10-26,4,17161,68644
95,33,407,2022-08-23,3,18771,56313
96,77,347,2021-01-11,4,17982,71928
97,26,301,2021-07-06,1,35650,35650
98,22,428,2022-12-27,4,42707,170828
99,66,466,2023-11-05,4,13525,54100
100,38,88,2023-02-17,1,8573,8573
101,90,371,2022-02-15,4,16835,67340
102,46,303,2023-08-14,4,25360,101440
103,15,168,2022-08-08,1,1507,1507
104,98,435,2023-12-12,1,45423,45423
105,44,170,2023-11-18,1,24321,24321
106,49,135,2022-07-31,3,25838,77514
107,75,50,2023-11-07,1,36112,36112
108,61,432,2023-09-16,1,29741,29741
109,67,340,2023-01-13,4,36624,146496
110,6,347,2021-07-23,2,30720,61440
111,9,134,2023-12-13,2,35332,70664
112,6,347,2023-09-01,3,30720,92160
113,73,137,2023-07-29,3,3842,11526
114,95,245,2023-12-14,2,6126,12252
115,32,109,2023-11-21,2,7559,15118
116,41,313,2023-12-18,1,11883,11883
117,76,287,2021-04-15,4,10896,43584
118,8,21,2021-09-10,1,1636,1636
119,72,90,2021-10-22,3,16922,50766
120,50,296,2022-10-30,2,22230,44460
121,92,112,2022-07-03,3,49401,148203
122,62,301,2022-09-23,1,31178,31178
123,84,77,2023-12-27,3,44913,134739
124,62,177,2021-10-26,3,31178,93534
125,7,343,2021-04-11,4,10382,41528
126,75,148,2023-12-16,3,36112,108336
127,84,101,2021-11-28,1,44913,44913
128,80,246,2023-04-16,4,13761,55044
129,4,117,2022-01-28,3,10677,32031
130,6,92,2023-05-24,1,30720,30720
131,58,401,2022-01-16,2,47682,95364
132,22,28,2021-04-02,4,42707,170828
133,26,425,2022-03-23,3,35650,106950
134,3,450,2021-04-19,3,33562,100686
135,41,25,2021-11-13,4,11883,47532
136,60,58,2022-03-18,1,27582,27582
137,14,498,2021-08-06,3,32075,96225
138,75,297,2022-11-04,1,36112,36112
139,82,134,2021-10-05,4,12222,48888
140,12,331,2023-10-06,3,13487,40461
141,87,249,2022-07-23,2,32847,65694
142,12,38,2023-10-07,2,13487,26974
143,13,390,2023-05-25,2,37811,75622
144,25,429,2022-04-11,4,33839,135356
145,45,75,2023-04-19,3,38067,114201
146,19,142,2023-01-24,4,44986,179944
147,55,322,2023-04-18,3,44564,133692
148,100,168,2021-01-30,2,11925,23850
149,45,259,2021-12-25,2,38067,76134
150,8,373,2021-03-27,1,1636,1636
151,93,355,2023-01-17,4,34950,139800
152,53,225,2021-11-09,4,27583,110332
153,55,152,2021-12-31,1,44564,44564
154,32,19,2023-06-24,2,7559,15118
155,51,146,2022-11-29,2,21927,43854
156,44,448,2021-05-11,4,24321,97284
157,82,241,2023-03-14,3,12222,36666
158,70,372,2023-02-28,2,7040,14080
159,18,381,2021-12-17,1,48017,48017
160,83,344,2021-06-29,1,22542,22542
161,22,237,2023-02-13,1,42707,42707
162,37,35,2022-05-25,4,15359,61436
163,96,190,2021-12-31,4,7924,31696
164,56,1,2023-09-08,4,8313,33252
165,59,484,2021-12-19,4,28070,112280
166,3,153,2023-03-11,1,33562,33562
167,28,429,2022-02-16,1,27160,27160
168,74,433,2023-01-05,4,42346,169384
169,35,126,2023-09-08,4,7991,31964
170,61,491,2021-04-28,1,29741,29741
171,93,482,2022-04-27,4,34950,139800
172,54,345,2021-07-11,4,22010,88040
173,63,400,2022-08-14,4,45069,180276
174,79,226,2022-08-13,4,47266,189064
175,97,221,2022-10-21,2,13357,26714
176,7,403,2021-04-17,4,10382,41528
177,76,407,2022-01-17,1,10896,10896
178,49,211,2023-02-22,1,25838,25838
179,94,25,2022-01-25,1,32696,32696
180,85,16,2021-09-01,1,48351,48351
181,31,182,2022-08-08,4,14007,56028
182,58,499,2023-05-19,2,47682,95364
183,61,329,2022-04-13,3,29741,89223
184,24,129,2023-05-16,3,1935,5805
185,20,42,2023-07-23,3,29757,89271
186,37,403,2022-08-27,3,15359,46077
187,4,481,2023-10-12,1,10677,10677
188,92,418,2023-05-10,4,49401,197604
189,20,336,2021-01-13,4,29757,119028
190,60,236,2021-10-26,3,27582,82746
191,24,360,2023-12-11,3,1935,5805
192,50,439,2023-02-26,2,22230,44460
193,49,402,2021-05-29,2,25838,51676
194,51,34,2021-05-02,2,21927,43854
195,96,345,2022-06-22,1,7924,7924
196,36,381,2022-01-11,4,47795,191180
197,98,45,2021-03-23,1,45423,45423
198,100,134,2022-05-07,1,11925,11925
199,66,21,2021-12-22,4,13525,54100
200,79,122,2023-07-14,2,47266,94532
201,34,70,2023-12-04,4,46039,184156
202,36,352,2023-10-02,3,47795,143385
203,6,361,2021-05-03,2,30720,61440
204,39,48,2022-12-09,4,9577,38308
205,42,491,2021-11-26,1,49646,49646
206,58,39,2023-09-18,4,47682,190728
207,12,287,2021-11-19,2,13487,26974
208,3,490,2023-02-09,3,33562,100686
209,18,10,2022-03-09,1,48017,48017
210,40,30,2022-12-11,3,21453,64359
211,21,244,2023-03-05,3,22236,66708
212,15,274,2022-12-13,1,1507,1507
213,97,444,2022-06-23,4,13357,53428
214,99,88,2022-08-24,4,20482,81928
215,26,244,2021-09-14,3,35650,106950
216,8,381,2023-05-21,4,1636,6544
217,100,329,2023-06-18,2,11925,23850
218,94,479,2023-03-20,3,32696,98088
219,87,15,2022-11-08,3,32847,98541
220,42,4,2021-09-28,3,49646,148938
221,44,191,2022-07-04,2,24321,48642
222,14,168,2022-07-22,3,32075,96225
223,78,9,2023-09-13,4,23911,95644
224,2,109,2021-12-25,4,26623,106492
225,37,137,2023-03-09,4,15359,61436
226,69,154,2023-06-06,4,24150,96600
227,38,388,2021-07-30,3,8573,25719
